OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
196,Alberta,Summerview,136,2,SVW30,30/61,1800,80,65,Vestas,V80/1800,2004,49,61866357,-113,7858697,
197,Alberta,Summerview,136,2,SVW31,31/61,1800,80,65,Vestas,V80/1800,2004,49,61658397,-113,7837891,
198,Alberta,Summerview,136,2,SVW32,32/61,1800,80,65,Vestas,V80/1800,2004,49,61451711,-113,7816294,
199,Alberta,Summerview,136,2,SVW33,33/61,1800,80,65,Vestas,V80/1800,2004,49,6123425,-113,77932,
200,Alberta,Summerview,136,2,SVW34,34/61,1800,80,65,Vestas,V80/1800,2004,49,6079919,-113,7784196,
201,Alberta,Summerview,136,2,SVW35,35/61,1800,80,65,Vestas,V80/1800,2004,49,60581777,-113,7761616,
202,Alberta,Summerview,136,2,SVW36,36/61,1800,80,65,Vestas,V80/1800,2004,49,60358487,-113,774009,
203,Alberta,Summerview,136,2,SVW37,37/61,1800,80,65,Vestas,V80/1800,2004,49,60151163,-113,7705728,
204,Alberta,Summerview,136,2,SVW38,38/61,1800,80,65,Vestas,V80/1800,2004,49,59945755,-113,7682846,
205,Alberta,Summerview,136,2,SVW39,39/61,1800,80,65,Vestas,V80/1800,2004,49,59735606,-113,7660256,
206,Alberta,Chin Chute,30,CHC1,1/20,1500,77,65,GE,GE 1.5SLE,2006,49,6921946,-112,3511163,
207,Alberta,Chin Chute,30,CHC2,2/20,1500,77,65,GE,GE 1.5SLE,2006,49,69083958,-112,3494343,
208,Alberta,Chin Chute,30,CHC3,3/20,1500,77,65,GE,GE 1.5SLE,2006,49,68697053,-112,3427319,
209,Alberta,Chin Chute,30,CHC4,4/20,1500,77,65,GE,GE 1.5SLE,2006,49,68630788,-112,3400214,
210,Alberta,Chin Chute,30,CHC5,5/20,1500,77,65,GE,GE 1.5SLE,2006,49,68563356,-112,3375135,
211,Alberta,Chin Chute,30,CHC6,6/20,1500,77,65,GE,GE 1.5SLE,2006,49,68497583,-112,3347551,
212,Alberta,Chin Chute,30,CHC7,7/20,1500,77,65,GE,GE 1.5SLE,2006,49,69319076,-112,3340897,
213,Alberta,Chin Chute,30,CHC8,8/20,1500,77,65,GE,GE 1.5SLE,2006,49,69229274,-112,3314378,
214,Alberta,Chin Chute,30,CHC9,9/20,1500,77,65,GE,GE 1.5SLE,2006,49,69133984,-112,3291842,
215,Alberta,Chin Chute,30,CHC10,10/20,1500,77,65,GE,GE 1.5SLE,2006,49,68683467,-112,3248794,
216,Alberta,Chin Chute,30,CHC11,11/20,1500,77,65,GE,GE 1.5SLE,2006,49,68567933,-112,3222053,
217,Alberta,Chin Chute,30,CHC12,12/20,1500,77,65,GE,GE 1.5SLE,2006,49,6843971,-112,3200045,
218,Alberta,Chin Chute,30,CHC13,13/20,1500,77,65,GE,GE 1.5SLE,2006,49,68319128,-112,3176915,
219,Alberta,Chin Chute,30,CHC14,14/20,1500,77,65,GE,GE 1.5SLE,2006,49,68215003,-112,3154184,
220,Alberta,Chin Chute,30,CHC15,15/20,1500,77,65,GE,GE 1.5SLE,2006,49,68093081,-112,313313,
221,Alberta,Chin Chute,30,CHC16,16/20,1500,77,65,GE,GE 1.5SLE,2006,49,67958527,-112,3110969,
222,Alberta,Chin Chute,30,CHC17,17/20,1500,77,65,GE,GE 1.5SLE,2006,49,67844853,-112,3087716,
223,Alberta,Chin Chute,30,CHC18,18/20,1500,77,65,GE,GE 1.5SLE,2006,49,67695187,-112,3056658,
224,Alberta,Chin Chute,30,CHC19,19/20,1500,77,65,GE,GE 1.5SLE,2006,49,67570509,-112,3011344,
